_;id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
2;3176;Fabulous Flat in great Location;3718;Britta;Pankow;Prenzlauer Berg Südwest;52.53499619158672;13.417578665333297;Entire home/apt;90;62;143;20/03/2017;1.25;1;220
5;9991;Geourgeous flat - outstanding views;33852;Philipp;Pankow;Prenzlauer Berg Südwest;52.533030768026826;13.416046823956403;Entire home/apt;180;6;6;23/07/2018;0.15;1;137
6;14325;Apartment in Prenzlauer Berg;55531;Chris + Oliver;Pankow;Prenzlauer Berg Nordwest;52.54784640799216;13.405562243722455;Entire home/apt;70;90;23;01/11/2018;0.23;3;129
7;16401;APARTMENT TO RENT;59666;Melanie;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51051399601544;13.457850238106197;Private room;120;30;0;;;1;365
8;16644;In the Heart of Berlin - Kreuzberg;64696;Rene;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50479227385915;13.435101853886051;Entire home/apt;90;60;48;14/12/2017;0.47;2;159
11;20858;Designer Loft in Berlin Mitte;71331;Marc;Pankow;Prenzlauer Berg Südwest;52.53695243192395;13.407615032621536;Entire home/apt;129;3;56;20/10/2018;0.75;1;166
12;21869;Studio in the Heart of Kreuzberg;64696;Rene;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50273333406941;13.434619857852764;Entire home/apt;70;60;60;05/06/2016;0.61;2;129
13;22415;Stylishly furnished 3 room flat;86068;Kiki;Friedrichshain-Kreuzberg;südliche Luisenstadt;52.49485061986592;13.428500598140367;Entire home/apt;98;3;61;01/10/2018;0.59;2;257
14;22677;Prenzel garden with leafy terrace;87357;Ramfis;Mitte;Brunnenstr. Süd;52.53434836322021;13.405576517191426;Entire home/apt;160;3;223;05/11/2018;2.27;1;228
16;24569;Sunny & Wheelchair accessible;99662;Dominik;Pankow;Prenzlauer Berg Südwest;52.53079085230837;13.41808443901994;Entire home/apt;90;3;18;25/08/2018;0.18;2;3
17;25653;Sunny & stylish 150 sqm apartment;99662;Dominik;Pankow;Prenzlauer Berg Süd;52.530258736282434;13.419466962263806;Entire home/apt;90;4;5;14/08/2016;0.05;2;15
18;26543;Helmholtzplatz Bright&Spacious Apt.;112675;Terri;Pankow;Helmholtzplatz;52.54406239119687;13.421376521988275;Entire home/apt;197;3;163;05/11/2018;1.63;1;336
19;28156;Beautiful apartment in Prenzlauer Berg;55531;Chris + Oliver;Pankow;Prenzlauer Berg Nordwest;52.54671936814942;13.405117021304424;Entire home/apt;70;90;28;29/04/2017;0.29;3;191
20;28268;Cozy Berlin Friedrichshain for1/6 p;121580;Elena;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51338523184102;13.469947507779649;Entire home/apt;90;5;30;02/08/2017;0.33;1;55
22;29279;Quiet 2 rooms next Helmholtzplatz;54283;Marine;Pankow;Helmholtzplatz;52.54178764990126;13.42388315889975;Entire home/apt;130;60;69;31/07/2018;0.7;3;221
23;30295;PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG;485838;Michele;Pankow;Helmholtzplatz;52.54596726018988;13.422358872353616;Entire home/apt;100;4;240;31/10/2018;2.42;4;296
31;38074;3 months min stay in the heart of Prenzlauer Berg!;163384;Alan & Kasia;Pankow;Prenzlauer Berg Süd;52.53680114276391;13.42546637252866;Entire home/apt;80;84;102;21/07/2018;1.03;10;221
32;38296;nice apartment to rent in Neukölln in September!;164310;Oliver;Neukölln;Schillerpromenade;52.4858626082932;13.423619080920696;Entire home/apt;80;10;6;27/07/2012;0.06;1;310
37;42809;The Berlin Artist Apartment.;186851;Tina;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51175980499;13.45536167972428;Entire home/apt;119;4;109;04/11/2018;1.14;1;285
38;43123;Lux Berlin 1: boutique & design;188116;Lena;Pankow;Prenzlauer Berg Südwest;52.53946252929092;13.408834096612916;Entire home/apt;90;5;65;31/10/2018;0.66;2;186
43;47938;Lovely 2 BR flat in Prenzlauer Berg;218479;Laura;Pankow;Prenzlauer Berg Südwest;52.53219075931284;13.419875245322093;Entire home/apt;160;3;35;29/09/2018;0.35;1;32
